Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0626352	6	0	0	LastDelay	0.0626352	62635.2	1	3
0.0626352	6	0	0	FullDelay	0.0626352	62635.2	1	3
0.0626352	7	0	0	LastDelay	0.0626352	62635.2	1	3
0.0626352	7	0	0	FullDelay	0.0626352	62635.2	1	3
0.0626352	8	0	0	LastDelay	0.0626352	62635.2	1	3
0.0626352	8	0	0	FullDelay	0.0626352	62635.2	1	3
0.0626352	9	0	0	LastDelay	0.0626352	62635.2	1	3
0.0626352	9	0	0	FullDelay	0.0626352	62635.2	1	3
0.0734888	10	0	0	LastDelay	0.0734888	73488.8	1	4
0.0734888	10	0	0	FullDelay	0.0734888	73488.8	1	4
0.0734888	11	0	0	LastDelay	0.0734888	73488.8	1	4
0.0734888	11	0	0	FullDelay	0.0734888	73488.8	1	4
0.162635	6	0	1	LastDelay	0.0626352	62635.2	1	3
0.162635	6	0	1	FullDelay	0.0626352	62635.2	1	3
0.162635	7	0	1	LastDelay	0.0626352	62635.2	1	3
0.162635	7	0	1	FullDelay	0.0626352	62635.2	1	3
0.162635	8	0	1	LastDelay	0.0626352	62635.2	1	3
0.162635	8	0	1	FullDelay	0.0626352	62635.2	1	3
0.162635	9	0	1	LastDelay	0.0626352	62635.2	1	3
0.162635	9	0	1	FullDelay	0.0626352	62635.2	1	3
0.173489	10	0	1	LastDelay	0.0734888	73488.8	1	4
0.173489	10	0	1	FullDelay	0.0734888	73488.8	1	4
0.173489	11	0	1	LastDelay	0.0734888	73488.8	1	4
0.173489	11	0	1	FullDelay	0.0734888	73488.8	1	4
0.262635	6	0	2	LastDelay	0.0626352	62635.2	1	3
0.262635	6	0	2	FullDelay	0.0626352	62635.2	1	3
0.262635	7	0	2	LastDelay	0.0626352	62635.2	1	3
0.262635	7	0	2	FullDelay	0.0626352	62635.2	1	3
0.262635	8	0	2	LastDelay	0.0626352	62635.2	1	3
0.262635	8	0	2	FullDelay	0.0626352	62635.2	1	3
0.262635	9	0	2	LastDelay	0.0626352	62635.2	1	3
0.262635	9	0	2	FullDelay	0.0626352	62635.2	1	3
0.273489	10	0	2	LastDelay	0.0734888	73488.8	1	4
0.273489	10	0	2	FullDelay	0.0734888	73488.8	1	4
0.273489	11	0	2	LastDelay	0.0734888	73488.8	1	4
0.273489	11	0	2	FullDelay	0.0734888	73488.8	1	4
0.362635	6	0	3	LastDelay	0.0626352	62635.2	1	3
0.362635	6	0	3	FullDelay	0.0626352	62635.2	1	3
0.362635	7	0	3	LastDelay	0.0626352	62635.2	1	3
0.362635	7	0	3	FullDelay	0.0626352	62635.2	1	3
0.362635	8	0	3	LastDelay	0.0626352	62635.2	1	3
0.362635	8	0	3	FullDelay	0.0626352	62635.2	1	3
0.362635	9	0	3	LastDelay	0.0626352	62635.2	1	3
0.362635	9	0	3	FullDelay	0.0626352	62635.2	1	3
0.373489	10	0	3	LastDelay	0.0734888	73488.8	1	4
0.373489	10	0	3	FullDelay	0.0734888	73488.8	1	4
0.373489	11	0	3	LastDelay	0.0734888	73488.8	1	4
0.373489	11	0	3	FullDelay	0.0734888	73488.8	1	4
0.462635	6	0	4	LastDelay	0.0626352	62635.2	1	3
0.462635	6	0	4	FullDelay	0.0626352	62635.2	1	3
0.462635	7	0	4	LastDelay	0.0626352	62635.2	1	3
0.462635	7	0	4	FullDelay	0.0626352	62635.2	1	3
0.462635	8	0	4	LastDelay	0.0626352	62635.2	1	3
0.462635	8	0	4	FullDelay	0.0626352	62635.2	1	3
0.462635	9	0	4	LastDelay	0.0626352	62635.2	1	3
0.462635	9	0	4	FullDelay	0.0626352	62635.2	1	3
0.473489	10	0	4	LastDelay	0.0734888	73488.8	1	4
0.473489	10	0	4	FullDelay	0.0734888	73488.8	1	4
0.473489	11	0	4	LastDelay	0.0734888	73488.8	1	4
0.473489	11	0	4	FullDelay	0.0734888	73488.8	1	4
0.562635	6	0	5	LastDelay	0.0626352	62635.2	1	3
0.562635	6	0	5	FullDelay	0.0626352	62635.2	1	3
0.562635	7	0	5	LastDelay	0.0626352	62635.2	1	3
0.562635	7	0	5	FullDelay	0.0626352	62635.2	1	3
0.562635	8	0	5	LastDelay	0.0626352	62635.2	1	3
0.562635	8	0	5	FullDelay	0.0626352	62635.2	1	3
0.562635	9	0	5	LastDelay	0.0626352	62635.2	1	3
0.562635	9	0	5	FullDelay	0.0626352	62635.2	1	3
0.573489	10	0	5	LastDelay	0.0734888	73488.8	1	4
0.573489	10	0	5	FullDelay	0.0734888	73488.8	1	4
0.573489	11	0	5	LastDelay	0.0734888	73488.8	1	4
0.573489	11	0	5	FullDelay	0.0734888	73488.8	1	4
0.662635	6	0	6	LastDelay	0.0626352	62635.2	1	3
0.662635	6	0	6	FullDelay	0.0626352	62635.2	1	3
0.662635	7	0	6	LastDelay	0.0626352	62635.2	1	3
0.662635	7	0	6	FullDelay	0.0626352	62635.2	1	3
0.662635	8	0	6	LastDelay	0.0626352	62635.2	1	3
0.662635	8	0	6	FullDelay	0.0626352	62635.2	1	3
0.662635	9	0	6	LastDelay	0.0626352	62635.2	1	3
0.662635	9	0	6	FullDelay	0.0626352	62635.2	1	3
0.673489	10	0	6	LastDelay	0.0734888	73488.8	1	4
0.673489	10	0	6	FullDelay	0.0734888	73488.8	1	4
0.673489	11	0	6	LastDelay	0.0734888	73488.8	1	4
0.673489	11	0	6	FullDelay	0.0734888	73488.8	1	4
0.762635	6	0	7	LastDelay	0.0626352	62635.2	1	3
0.762635	6	0	7	FullDelay	0.0626352	62635.2	1	3
0.762635	7	0	7	LastDelay	0.0626352	62635.2	1	3
0.762635	7	0	7	FullDelay	0.0626352	62635.2	1	3
0.762635	8	0	7	LastDelay	0.0626352	62635.2	1	3
0.762635	8	0	7	FullDelay	0.0626352	62635.2	1	3
0.762635	9	0	7	LastDelay	0.0626352	62635.2	1	3
0.762635	9	0	7	FullDelay	0.0626352	62635.2	1	3
0.773489	10	0	7	LastDelay	0.0734888	73488.8	1	4
0.773489	10	0	7	FullDelay	0.0734888	73488.8	1	4
0.773489	11	0	7	LastDelay	0.0734888	73488.8	1	4
0.773489	11	0	7	FullDelay	0.0734888	73488.8	1	4
0.862635	6	0	8	LastDelay	0.0626352	62635.2	1	3
0.862635	6	0	8	FullDelay	0.0626352	62635.2	1	3
0.862635	7	0	8	LastDelay	0.0626352	62635.2	1	3
0.862635	7	0	8	FullDelay	0.0626352	62635.2	1	3
0.862635	8	0	8	LastDelay	0.0626352	62635.2	1	3
0.862635	8	0	8	FullDelay	0.0626352	62635.2	1	3
0.862635	9	0	8	LastDelay	0.0626352	62635.2	1	3
0.862635	9	0	8	FullDelay	0.0626352	62635.2	1	3
0.873489	10	0	8	LastDelay	0.0734888	73488.8	1	4
0.873489	10	0	8	FullDelay	0.0734888	73488.8	1	4
0.873489	11	0	8	LastDelay	0.0734888	73488.8	1	4
0.873489	11	0	8	FullDelay	0.0734888	73488.8	1	4
0.962635	6	0	9	LastDelay	0.0626352	62635.2	1	3
0.962635	6	0	9	FullDelay	0.0626352	62635.2	1	3
0.962635	7	0	9	LastDelay	0.0626352	62635.2	1	3
0.962635	7	0	9	FullDelay	0.0626352	62635.2	1	3
0.962635	8	0	9	LastDelay	0.0626352	62635.2	1	3
0.962635	8	0	9	FullDelay	0.0626352	62635.2	1	3
0.962635	9	0	9	LastDelay	0.0626352	62635.2	1	3
0.962635	9	0	9	FullDelay	0.0626352	62635.2	1	3
0.973489	10	0	9	LastDelay	0.0734888	73488.8	1	4
0.973489	10	0	9	FullDelay	0.0734888	73488.8	1	4
0.973489	11	0	9	LastDelay	0.0734888	73488.8	1	4
0.973489	11	0	9	FullDelay	0.0734888	73488.8	1	4
1.06264	6	0	10	LastDelay	0.0626352	62635.2	1	3
1.06264	6	0	10	FullDelay	0.0626352	62635.2	1	3
1.06264	7	0	10	LastDelay	0.0626352	62635.2	1	3
